ds,y
2024-03-28,7.0
2024-03-29,6.75
2024-03-30,8.5
2024-03-31,9.5
2024-04-01,10.333333333333334
2024-04-02,8.366666666666667
2024-04-03,7.2
2024-04-04,8.200000000000001
2024-04-05,8.5
2024-04-06,9.666666666666666
2024-04-07,8.666666666666666
2024-04-08,9.833333333333334
2024-04-09,8.966666666666667
2024-04-10,9.466666666666667
2024-04-11,8.633333333333333
2024-04-12,9.5
2024-04-13,9.833333333333334
2024-04-14,11.166666666666666
2024-04-15,11.0
2024-04-16,10.333333333333334
2024-04-17,10.666666666666666
2024-04-18,10.833333333333334
2024-04-19,11.333333333333334
2024-04-20,11.166666666666666
2024-04-21,11.833333333333334
2024-04-22,12.066666666666668
2024-04-23,11.9
2024-04-24,11.799999999999999
2024-04-25,13.4
2024-04-26,11.4
2024-04-27,14.5
2024-04-28,16.566666666666666
2024-04-29,21.599999999999998
2024-04-30,21.366666666666664
2024-05-01,20.133333333333333
2024-05-02,20.066666666666666
2024-05-03,19.866666666666664
2024-05-04,22.066666666666666
2024-05-05,22.8
2024-05-06,23.133333333333336
2024-05-07,22.733333333333334
2024-05-08,22.399999999999995
2024-05-09,21.933333333333334
2024-05-10,21.5
2024-05-11,21.099999999999998
2024-05-12,23.666666666666668
2024-05-13,23.63333333333333
2024-05-14,24.533333333333335
2024-05-15,17.433333333333334
2024-05-16,16.3
2024-05-17,15.433333333333332
2024-05-18,22.099999999999998
2024-05-19,23.8
2024-05-20,23.3
2024-05-21,21.933333333333334
2024-05-22,20.733333333333334
2024-05-23,21.133333333333333
2024-05-24,22.099999999999998
2024-05-25,23.433333333333337
2024-05-26,25.400000000000002
2024-05-27,26.0
2024-05-28,25.233333333333334
2024-05-29,23.900000000000002
2024-05-30,21.96666666666667
2024-05-31,22.633333333333336
2024-06-01,22.0
2024-06-02,23.8
2024-06-03,22.833333333333332
2024-06-04,22.899999999999995
2024-06-05,22.766666666666666
2024-06-06,22.7
2024-06-07,23.5
2024-06-08,23.666666666666668
2024-06-09,24.5
2024-06-10,26.133333333333336
2024-06-11,25.46666666666667
2024-06-12,25.466666666666665
2024-06-13,24.2
2024-06-14,23.7
2024-06-15,24.566666666666663
2024-06-16,24.933333333333337
2024-06-17,25.333333333333332
2024-06-18,24.633333333333336
2024-06-19,25.166666666666668
2024-06-20,26.23333333333333
2024-06-21,26.133333333333336
2024-06-22,26.833333333333332
2024-06-23,27.3
2024-06-24,27.400000000000002
2024-06-25,27.333333333333332
