ds,y
2024-03-28,3.0
2024-03-29,3.0
2024-03-30,3.3333333333333335
2024-03-31,4.333333333333333
2024-04-01,4.333333333333333
2024-04-02,4.0
2024-04-03,3.0
2024-04-04,3.0
2024-04-05,3.3333333333333335
2024-04-06,4.133333333333334
2024-04-07,5.133333333333334
2024-04-08,4.966666666666667
2024-04-09,4.166666666666667
2024-04-10,3.1666666666666665
2024-04-11,3.1666666666666665
2024-04-12,3.233333333333333
2024-04-13,4.233333333333333
2024-04-14,5.066666666666666
2024-04-15,5.5
2024-04-16,4.8
2024-04-17,4.0
2024-04-18,3.5
2024-04-19,4.2
2024-04-20,5.0
2024-04-21,6.0
2024-04-22,6.0
2024-04-23,6.0
2024-04-24,5.166666666666667
2024-04-25,5.2
2024-04-26,4.366666666666666
2024-04-27,9.866666666666667
2024-04-28,14.5
2024-04-29,19.333333333333332
2024-04-30,18.833333333333332
2024-05-01,18.633333333333333
2024-05-02,18.8
2024-05-03,18.833333333333332
2024-05-04,18.7
2024-05-05,18.533333333333335
2024-05-06,17.666666666666668
2024-05-07,19.5
2024-05-08,19.833333333333332
2024-05-09,20.933333333333334
2024-05-10,18.266666666666666
2024-05-11,18.599999999999998
2024-05-12,21.333333333333332
2024-05-13,20.166666666666668
2024-05-14,22.0
2024-05-15,18.86666666666667
2024-05-16,19.86666666666667
2024-05-17,19.46666666666667
2024-05-18,21.766666666666666
2024-05-19,26.133333333333336
2024-05-20,26.03333333333333
2024-05-21,26.03333333333333
2024-05-22,24.333333333333332
2024-05-23,24.333333333333332
2024-05-24,24.46666666666667
2024-05-25,25.96666666666667
2024-05-26,28.46666666666667
2024-05-27,30.666666666666668
2024-05-28,30.53333333333333
2024-05-29,29.03333333333333
2024-05-30,27.866666666666664
2024-05-31,27.333333333333332
2024-06-01,29.133333333333336
2024-06-02,31.666666666666668
2024-06-03,32.43333333333333
2024-06-04,27.46666666666667
2024-06-05,26.3
2024-06-06,26.26666666666667
2024-06-07,29.26666666666667
2024-06-08,27.366666666666664
2024-06-09,29.13333333333333
2024-06-10,32.166666666666664
2024-06-11,33.333333333333336
2024-06-12,31.5
2024-06-13,28.96666666666667
2024-06-14,28.099999999999998
2024-06-15,30.599999999999998
2024-06-16,33.93333333333333
2024-06-17,34.53333333333333
2024-06-18,33.36666666666667
2024-06-19,31.433333333333337
2024-06-20,31.100000000000005
2024-06-21,32.13333333333333
2024-06-22,33.733333333333334
2024-06-23,37.3
2024-06-24,35.766666666666666
2024-06-25,33.800000000000004
